Sample,Site,Position,Mineral,Si,Al,Fe,Mn,Mg,Ca,Na,K,P,S,F,Cu,Zn,Sn,W,O,Ti,Cl,As,Zr,Nb,Hf,Ta,Pb,U,N,Br,Sr,Re,B,Ir,Th,Ag,Bi,Ba,Cr,Co,Ni,La,Ce,Nd,Sc,V,Cd,Pt,Total,mineral estimate,mismatch percent
 01A05A,2,9, ,32.37,9.82,0.0,0.0,0.0,0.16,8.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,albite,0.36708803401930956
 01A05A,2,10, ,23.59,19.63,0.78,0.0,0.0,0.0,0.33,9.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,muscovite,2.5348265165059547
 01A05A,2,11, ,46.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,quartz,0.003672803266435709
 01A05A,2,12, ,33.3,14.91,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,spodumene,2.048985124855382
 01A05A,3,1, ,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.14,0.0,21.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,cassiterite,0.6601410803658052
 01A05A,3,2, ,33.43,14.92,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,spodumene,1.9595843228636376
 01A05A,3,3, ,46.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,quartz,0.003672803266435709
 01A05A,3,4, ,23.73,20.1,0.31,0.0,0.0,0.0,0.0,9.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,muscovite,2.1001456372951353
 01A05A,3,5, ,1.9,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.8,0.0,23.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,cassiterite,5.1313874567471025
 01A05A,3,6, ,19.28,11.86,19.16,5.01,1.34,0.34,0.0,0.42,0.0,0.0,0.0,0.0,1.64,0.0,0.0,40.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,ferrotschermakite,5.797780653438612
